Absences per month,ເຈົ້າພໍໃຈກັບເນື້ອຫາຫຼັກສູດທີ່ເຈົ້າຮຽນໃນປັດຈຸບັນຫຼືບໍ່?,ເຈົ້າຄິດວ່າເນື້ອຫາໃນຫຼັກສູດຕົງກັບຄວາມສົນໃຈຂອງເຈົ້າຫຼຶບໍ່?,ເຈົ້າຄິດວ່າເນື້ອຫາໃນຫຼັກສູດການຮຽນຍາກເກີນໄປຫຼືບໍ່?,Engagement Score,Monthly education expenses,ຖ້າຄອບຄົວຂອງເຈົ້າມີລາຍໄດ້ບໍ່ພຽງພໍຕໍ່ການລ້ຽງຊີບ,ຖ້າຜູ້ປົກຄອງຂອງເຈົ້າບັງຄັບໃຫ້ເຮັດວຽກແທນການຮຽນ,ຖ້າເຈົ້າມີໂອກາດໄດ້ເຮັດວຽກທີ່ໄດ້ເງິນເດີອນໂດຍບໍ່ຕ້ອງໄດ້ຮຽນ,ຖ້າຄອບຄົວຂອງເຈົ້າມີໜີ້ສິນຫຼາຍ,ຖ້າເຈົ້າຮູ້ສືກວ່າພາລະຄ່າໃຊ້ຈ່າຍໃນການສຶກສາເຮັດໃຫ້ຄອບຄົວມີຄວາມຄຽດ ຫຼື ຄວາມຍາກລຳບາກໃນການຈັດການການເງິນ,economie_factor,ຖ້າໂຮງຮຽນບໍ່ມີຄູສອນພຽງພໍ ຫຼື ການສອນບໍ່ມີຄຸນນະພາບ,ຖ້າໂຮງຮຽນເນັ້ນແຕ່ການສອບເສັງ ແລະ ບໍ່ມີການຮຽນຮູ້ແບບມ່ວນຊື່ນ,ຖ້າທາງໂຮງຮຽນໄດ້ມີນະໂຍບາຍການຫາງານໃຫ້ກັບນັກຮຽນ,ຖ້າຫຼັກສູດບໍ່ມີວິຊາທີ່ຊ່ວຍໃຫ້ກຽມຕົວສຳລັບວຽກໃນອະນາຄົດ,"ຖ້າໂຮງຮຽນບໍ່ມີສິ່ງອຳນວຍຄວາມສະດວກທີ່ຈຳເປັນເຊັ່ນ: ຫ້ອງທົດລອງ, ຫ້ອງສະໝຸດ ຫຼື ອຸປະກອນກິລາ…",school_environment_factor,ຖ້ານັກຮຽນຮູ້ສຶກວ່າການຮຽນໃນໂຮງຮຽນບໍ່ຊ່ວຍໃຫ້ມີວຽກເຮັດໃນອະນາຄົດ,ນັກຮຽນຮູ້ສຶກເບື່ອໜ່າຍກັບການຮຽນໃນໂຮງຮຽນ,ຖ້ານັກຮຽນຕ້ອງຮຽນວິຊາທີ່ຕົວເອງບໍ່ມັກເປັນຈຳນວນຫຼາຍ,ຖ້ານັກຮຽນບໍ່ມີເປົ້າໝາຍ ຫຼື ແຮງບັນດານໃຈໃນການຮຽນ,ຖ້ານັກຮຽນຮູ້ສຶກວ່າຫຼັກສູດບໍ່ເປີດໂອກາດໃຫ້ເລືອກວິຊາທີ່ຕົວເອງ,motivational_factors,ຖ້ານັກຮຽນຕ້ອງຢ່າງໄປໂຮງຮຽນໄກກວ່າ 3 ກິໂລແມັດທຸກມື້,ຖ້າຖະໜົນທີ່ເດີນທາງໄປໂຮງຮຽນບໍ່ມີຄວາມປອດໄພເຊັ່ນ: ມີອຸບັດຕິເຫດ ຫຼື ອາດຊະຍາກຳ,ຖ້ານັກຮຽນເດີນທາງໄປໂຮງຮຽນມີຄ່າໃຊ້ຈ່າຍສູງຈົນເຮັດໃຫ້ຄອບຄົວລຳບາກທາງການເງິນ,ຖ້າການຂົນສົ່ງໄປໂຮງຮຽນບໍ່ສະດວກ ຫຼື ມີຄວາມສ່ຽງ,ຖ້ານັກຮຽນບໍ່ໄດ້ຮັບການສະໜັບສະໜູນຄ່າໃຊ້ຈ່າຍໃນການເດີນທາງຈາກຄອບຄົວຫຼືໂຮງຮຽນ,distance_factor,ຖ້ານັກຮຽນມີພະຍາດຊຳເຮື້ອທີ່ເຮັດໃຫ້ຕ້ອງມີການຂາດຮຽນຢູ່ເລື້ອຍໆ,ຖ້ານັກຮຽນມີບັນຫາດ້ານສຸຂະພາບຈິດເຊັ່ນ: ຄວາມຄຽດ ຫຼື ພະຍາດຊຶມເສົ້າ,ຖ້ານັກຮຽນບໍ່ມີສິດເຂົ້າເຖິງບໍລິການສາທາລະນະສຸກທີ່ດີເຊັ່ນ: ບໍ່ມີເງິນຈ່າຍຄ່າປິ່ນປົວ,ຖ້ານັກຮຽນມີພາລະຕ້ອງດູແລສຸຂະພາບຂອງສະມາຊິກໃນຄອບຄົວເຊັ່ນ: ພໍ່ແມ່ ຫຼື ພີ່ນ້ອງທີ່ປ່ວຍ,ຖ້ານັກຮຽນມີບັນຫາການນອນຫຼັບທີ່ສົ່ງຜົກກະທົບຕໍ່ການຮຽນຮູ້ ແລະ ຄວາມສາມາດໃນການສຸມໃສ່,health_factor,ນັກຮຽນເຄີຍຄິດທີ່ຈະປະລະການຮຽນຍ້ອນເລື່ອງຄວາມຮັກ,ຖ້ານັກຮຽນບໍ່ມີໝູ່ ຫຼື ຖືກກີດກັນຈາກສັງຄົມໃນໂຮງຮຽນ,ຖ້ານັກຮຽນຂາດແຮງຈູງໃຈໃນການຮຽນ ເພະບໍ່ຮູ້ສຶກວ່າສິ່ງທີ່ຮຽນຈະເປັນປະໂຫຍດຕໍ່ຊີວິດ,ຖ້າວ່ານັກຮຽນຮູ້ສຶກວ່າຕົນເອງບໍ່ເກັ່ງເທົ່າໝູ່ ຈົນເຮັດໃຫ້ໝົດກຳລັງໃຈໃນການຮຽນ,ຖ້ານັກຮຽນຮູ້ສຶກວ່າຄູບໍ່ສະໜັບສະໜູນ ຫຼືບໍ່ເຂົ້າໃຈບັນຫາຂອງຕົນເອງ,social_factors,"ຖ້າຄອບຄົວຂອງນັກຮຽນມີບັນຫາດ້ານຄອບຄົວ (ເຊັ່ນ:​ ການຢ່າຮ້າງ, ຄວາມຂັດແຍ່ງພາຍໃນ)",ຖ້າຜູ້ປົກຄອງຂອງນັກຮຽນມີທັດສະນະຄະຕິທີ່ບໍ່ສະໜັບສະໜູນການສຶກສາ,ຖ້າຄອບຄົວຂອງນັກຮຽນມີບັນຫາສຸຂະພາບ (ເຊັ່ນ: ເປັນພະຍາດຊ້ຳເຮື້ອພາຍໃນສະມາຊິກຄອບຄົວ),ຖ້າຄອບຄົວຂອງນັກຮຽນມີຄວາມບໍ່ສະຖຽນທາງດ້ານການເງິນ,ຖ້ານັກຮຽນບໍ່ໄດ້ຮັບການສະໜັບສະໜູນຈາກຄອບຄົວໃນເລື່ອງການສຶກສາ ແລະ ພັດທະນາອາຊີບໃນອະນາຄົດ,family_factors,Final decision to drop out
2,0,0,0,0,0,3,4,3,2,4,3.2,4,3,3,3,4,3.4,3,3,4,4,3,3.4,2,3,4,3,2,2.8,3,4,4,4,4,3.8,3,3,4,4,4,3.6,3,3,3,4,4,3.4,1
5,1,4,2,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3.2,3,3,2,3,4,3,3,3,4,3,2,3,0
3,2,2,1,3,2,3,2,2,3,5,3,5,4,2,5,3,3.8,4,3,2,2,5,3.2,3,5,4,4,3,3.8,3,3,3,4,2,3,2,3,3,2,3,2.6,3,2,3,3,2,2.6,1
2,2,1,1,2,3,1,3,3,4,3,2.8,3,4,1,4,1,2.6,3,3,3,1,4,2.8,2,5,4,1,2,2.8,3,2,4,3,2,2.8,1,3,2,2,2,2,3,2,3,3,1,2.4,0
2,2,2,1,3,3,3,2,1,3,3,2.4,3,3,1,5,1,2.6,3,1,1,1,1,1.4,1,5,3,3,4,3.2,3,3,3,1,1,2.2,3,1,1,1,1,1.4,1,1,1,1,1,1,0
0,2,1,1,2,3,3,2,3,3,5,3.2,4,3,2,4,3,3.2,4,3,2,2,4,3,3,5,4,4,3,3.8,2,4,3,4,3,3.2,2,2,3,2,3,2.4,2,2,3,3,3,2.6,0
1,2,2,1,3,3,2,2,2,1,2,1.8,3,3,3,2,3,2.8,2,1,2,2,3,2,2,2,2,2,2,2,2,1,2,1,2,1.6,1,3,2,2,3,2.2,2,2,2,1,1,1.6,0
0,2,1,1,2,3,3,2,3,3,3,2.8,3,3,3,4,3,3.2,3,2,2,3,3,2.6,3,4,3,3,3,3.2,4,4,3,4,3,3.6,3,3,3,3,3,3,2,2,3,3,2,2.4,0
3,2,1,2,1,3,2,2,2,2,3,2.2,3,3,3,4,3,3.2,3,2,3,3,3,2.8,3,4,3,3,3,3.2,2,2,3,2,3,2.4,2,3,3,2,3,2.6,1,2,2,2,2,1.8,0
0,2,2,2,2,0,1,1,2,1,3,1.6,2,1,3,2,2,2,2,2,3,2,1,2,2,1,1,1,2,1.4,1,2,2,3,2,2,1,1,2,3,2,1.8,2,1,1,2,1,1.4,0
2,1,2,2,1,0,3,1,2,3,3,2.4,3,4,1,4,1,2.6,3,4,1,4,1,2.6,2,2,2,3,4,2.6,1,3,3,2,3,2.4,2,3,3,3,2,2.6,1,2,2,2,2,1.8,0
0,1,1,2,0,3,3,1,3,3,3,2.6,3,1,3,1,1,1.8,3,3,3,2,1,2.4,1,4,2,3,3,2.6,3,4,3,3,2,3,1,1,1,3,3,1.8,2,3,2,2,3,2.4,0
2,3,2,2,3,3,3,2,4,3,3,3,3,3,2,4,4,3.2,4,3,3,4,3,3.4,4,3,4,3,3,3.4,2,3,2,3,2,2.4,1,3,3,2,4,2.6,2,3,3,2,3,2.6,0
4,2,2,2,2,2,2,1,3,1,2,1.8,3,3,5,4,2,3.4,1,2,3,4,5,3,3,5,4,4,4,4,3,3,4,4,3,3.4,2,5,2,1,3,2.6,1,2,4,4,3,2.8,1
0,2,2,2,2,1,5,2,5,3,5,4,3,5,4,5,5,4.4,2,5,3,4,2,3.2,1,3,5,4,1,2.8,5,4,3,5,3,4,1,3,1,1,3,1.8,3,1,5,5,3,3.4,1
0,2,2,1,3,0,4,2,5,4,3,3.6,3,2,3,4,4,3.2,4,3,3,2,3,3,3,5,4,3,3,3.6,4,4,3,4,2,3.4,1,4,5,1,3,2.8,1,2,4,4,3,2.8,0
2,2,1,0,3,0,4,3,5,4,3,3.8,3,2,3,5,4,3.4,5,3,2,2,3,3,5,5,3,2,3,3.6,3,3,4,5,1,3.2,1,3,2,2,2,2,3,3,1,2,4,2.6,1
3,2,2,0,4,2,2,4,4,2,2,2.8,5,4,1,5,1,3.2,5,2,4,2,5,3.6,2,2,5,4,4,3.4,5,2,4,2,4,3.4,1,4,4,2,3,2.8,2,4,4,2,4,3.2,1
2,2,2,2,2,0,2,4,4,2,3,3,3,4,3,4,2,3.2,3,3,3,4,3,3.2,3,3,4,3,4,3.4,4,3,4,2,2,3,2,3,3,2,4,2.8,2,4,3,2,1,2.4,0
0,1,2,2,1,2,5,5,4,3,5,4.4,4,3,4,2,5,3.6,5,5,5,3,3,4.2,1,4,3,3,4,3,3,3,3,3,3,3,4,4,3,5,3,3.8,4,3,5,5,5,4.4,1
0,2,2,2,2,2,3,1,1,2,1,1.6,3,3,1,3,1,2.2,3,1,1,1,2,1.6,1,1,1,1,1,1,3,3,1,1,1,1.8,1,1,1,1,1,1,2,3,1,2,3,2.2,0
3,2,1,2,1,0,4,2,3,4,5,3.6,5,4,4,5,3,4.2,4,3,3,4,5,3.8,2,5,5,4,5,4.2,4,5,4,5,2,4,1,1,4,2,4,2.4,1,2,5,5,2,3,1
3,2,2,2,2,3,4,2,3,4,5,3.6,4,4,4,4,3,3.8,4,3,3,3,4,3.4,3,4,4,4,5,4,4,5,5,5,2,4.2,1,1,4,3,4,2.6,3,2,3,5,4,3.4,1
0,3,2,2,3,2,2,3,2,1,1,1.8,4,3,3,2,2,2.8,2,1,1,1,2,1.4,3,4,4,5,2,3.6,2,2,3,2,3,2.4,1,1,1,1,1,1,1,1,2,2,1,1.4,0
2,2,2,2,2,2,3,3,4,3,5,3.6,3,3,3,3,3,3,3,3,3,3,4,3.2,3,4,3,3,3,3.2,3,4,3,3,3,3.2,1,1,1,2,3,1.6,2,3,1,3,1,2,0
5,0,1,2,-1,3,3,1,2,3,2,2.2,5,5,5,5,5,5,4,4,5,3,4,4,2,4,2,2,4,2.8,4,2,2,2,3,2.6,1,2,3,3,3,2.4,3,1,3,4,5,3.2,1
12,2,2,1,3,3,3,2,2,3,4,2.8,4,4,3,3,3,3.4,3,3,3,3,4,3.2,2,3,4,4,3,3.2,2,2,2,2,2,2,1,4,2,1,2,2,2,2,2,3,2,2.2,0
2,2,1,2,1,3,2,1,2,3,2,2,2,3,2,2,2,2.2,3,2,2,2,2,2.2,3,3,2,2,2,2.4,1,2,2,1,2,1.6,1,1,1,2,2,1.4,2,1,1,3,3,2,0
2,2,2,1,3,3,2,1,3,2,2,2,5,4,3,4,4,4,2,3,3,1,4,2.6,3,5,3,3,5,3.8,3,4,2,3,2,2.8,1,3,3,1,1,1.8,2,1,1,3,2,1.8,0
2,2,2,2,2,2,3,2,3,3,2,2.6,5,4,3,3,3,3.6,3,2,4,3,3,3,2,1,3,2,3,2.2,3,2,3,4,3,3,1,2,3,3,2,2.2,3,1,3,2,1,2,0
1,2,2,2,2,3,4,2,3,5,4,3.6,3,2,2,4,3,2.8,3,2,2,4,3,2.8,3,3,2,3,4,3,5,4,5,4,3,4.2,3,5,5,3,3,3.8,1,2,3,4,4,2.8,0
2,3,2,1,4,2,2,3,3,4,2,2.8,2,5,2,4,5,3.6,2,1,4,3,4,2.8,1,4,3,2,2,2.4,2,1,2,4,1,2,1,1,3,2,3,2,2,1,1,4,3,2.2,0
2,2,2,2,2,1,3,1,3,3,5,3,3,5,3,3,3,3.4,3,3,5,3,5,3.8,3,5,5,5,3,4.2,3,3,1,3,4,2.8,3,5,5,5,5,4.6,3,3,5,3,5,3.8,0
2,2,2,2,2,3,1,2,3,4,3,2.6,3,4,4,3,2,3.2,2,3,5,3,4,3.4,1,5,3,3,3,3,3,4,2,2,3,2.8,1,4,3,4,4,3.2,2,1,2,3,3,2.2,0
12,2,2,2,2,2,3,2,2,2,4,2.6,4,3,1,4,2,2.8,3,2,3,2,4,2.8,2,4,4,3,3,3.2,3,4,3,3,2,3,1,3,3,2,3,2.4,2,2,2,3,2,2.2,0
2,2,1,1,2,0,3,2,3,2,2,2.4,3,4,1,4,2,2.8,3,3,4,2,4,3.2,3,1,3,3,2,2.4,3,2,3,1,2,2.2,1,1,3,3,2,2,3,4,3,3,3,3.2,0
2,2,2,2,2,0,3,2,3,2,4,2.8,2,2,3,2,2,2.2,2,3,3,2,1,2.2,4,4,5,4,4,4.2,4,5,4,5,4,4.4,1,3,4,3,4,3,4,2,4,3,5,3.6,0
5,2,2,2,2,0,5,3,2,4,3,3.4,2,5,1,3,3,2.8,3,3,4,3,3,3.2,5,5,5,3,3,4.2,4,3,3,3,4,3.4,1,3,3,3,2,2.4,3,2,3,3,3,2.8,0
6,2,2,2,2,2,3,1,3,3,1,2.2,3,4,2,3,4,3.2,3,3,3,4,3,3.2,4,5,3,5,3,4,5,3,3,3,4,3.6,1,3,1,1,2,1.6,3,3,4,4,3,3.4,0
3,2,1,2,1,2,2,2,3,2,2,2.2,3,3,3,4,3,3.2,3,2,3,3,4,3,4,4,3,3,3,3.4,2,3,2,2,1,2,1,2,2,1,3,1.8,2,2,2,3,2,2.2,0
5,2,2,2,2,0,5,3,2,4,3,3.4,2,5,1,3,3,2.8,3,2,3,1,3,2.4,4,5,5,3,3,4,4,4,5,4,3,4,1,3,2,2,3,2.2,3,2,5,3,4,3.4,0
6,2,2,1,3,2,3,3,1,2,3,2.4,5,4,5,5,4,4.6,5,3,3,2,1,2.8,2,5,3,4,5,3.8,5,4,5,5,3,4.4,1,1,4,3,3,2.4,1,2,4,1,3,2.2,0
2,2,2,2,2,3,3,4,4,5,4,4,3,3,2,3,5,3.2,4,3,3,3,4,3.4,1,1,3,3,3,2.2,3,2,2,4,2,2.6,1,3,2,2,4,2.4,2,5,2,3,4,3.2,0
3,2,1,0,3,2,3,2,2,3,4,2.8,2,4,2,4,3,3,4,2,3,2,3,2.8,3,4,4,4,3,3.6,4,4,3,3,3,3.4,1,3,2,1,4,2.2,2,1,3,3,2,2.2,0
1,2,1,0,3,0,4,3,3,3,4,3.4,4,4,2,3,3,3.2,2,3,3,3,3,2.8,3,4,4,3,3,3.4,4,3,3,4,3,3.4,1,3,2,2,4,2.4,2,3,3,4,2,2.8,0
2,2,2,2,2,2,4,3,3,5,5,4,3,4,2,3,5,3.4,4,3,3,3,4,3.4,2,5,3,3,3,3.2,3,3,2,4,2,2.8,3,3,2,4,2,2.8,1,3,2,2,4,2.4,0
1,1,2,1,2,2,4,4,2,4,4,3.6,3,4,2,2,5,3.2,4,3,4,3,3,3.4,4,5,4,3,2,3.6,3,3,3,4,2,3,2,2,2,2,3,2.2,2,2,3,3,2,2.4,0
5,2,2,1,3,2,5,2,2,3,3,3,4,4,3,3,3,3.4,3,3,4,3,3,3.2,4,4,5,5,3,4.2,2,3,3,2,3,2.6,1,5,3,3,5,3.4,3,5,4,4,3,3.8,0
3,1,2,2,1,2,3,4,4,5,3,3.8,3,5,4,2,3,3.4,3,4,3,3,2,3,3,4,3,4,3,3.4,4,4,4,2,3,3.4,1,4,3,4,3,3,3,2,3,3,2,2.6,0
1,2,1,1,2,0,4,3,3,3,4,3.4,4,4,2,3,4,3.4,2,3,4,3,3,3,3,3,2,2,2,2.4,3,2,2,4,3,2.8,1,3,3,3,3,2.6,2,3,2,3,5,3,0
5,2,2,2,2,3,3,2,3,4,5,3.4,3,3,2,5,3,3.2,3,1,3,2,3,2.4,2,4,3,3,4,3.2,3,4,3,3,4,3.4,1,3,2,2,3,2.2,2,3,3,4,3,3,0
2,4,2,1,5,2,3,2,3,4,3,3,2,5,2,4,5,3.6,2,1,3,2,4,2.4,1,4,3,2,2,2.4,3,2,2,4,1,2.4,1,1,3,2,3,2,2,2,1,3,3,2.2,0
1,1,2,1,2,2,4,3,2,4,3,3.2,3,4,2,3,2,2.8,2,2,2,2,3,2.2,2,2,3,3,2,2.4,3,3,2,4,3,3,2,4,4,3,2,3,2,2,3,3,2,2.4,0
5,2,2,1,3,2,1,1,2,5,3,2.4,3,5,4,4,4,4,3,3,5,2,5,3.6,5,1,1,1,1,1.8,5,4,1,2,3,3,1,2,2,3,4,2.4,2,1,1,2,1,1.4,0
2,1,1,2,0,2,3,2,3,3,3,2.8,4,4,2,3,3,3.2,5,4,3,3,3,3.6,3,4,4,4,4,3.8,4,4,4,3,2,3.4,2,3,3,3,3,2.8,3,3,3,3,3,3,0
2,2,3,2,3,2,3,3,2,3,4,3,3,3,2,4,3,3,5,2,4,4,3,3.6,5,5,5,4,2,4.2,1,3,4,2,4,2.8,3,4,3,3,4,3.4,3,4,3,3,4,3.4,0
2,1,2,1,2,0,5,3,3,5,4,4,5,5,2,3,3,3.6,5,2,3,2,5,3.4,3,5,5,3,5,4.2,1,3,5,2,5,3.2,2,3,2,4,5,3.2,2,3,2,4,5,3.2,0
1,2,1,2,1,0,3,2,3,4,1,2.6,4,3,3,2,3,3,4,2,2,2,3,2.6,3,4,2,1,2,2.4,2,3,2,4,2,2.6,1,2,3,1,1,1.6,1,3,2,3,3,2.4,0
4,2,2,1,3,3,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,4.6,5,4,3,5,1,3.6,5,3,4,5,3,4,4,4,5,4,5,4.4,5,4,5,4,3,4.2,1
5,2,2,2,2,3,3,3,3,4,3,3.2,3,2,4,1,4,2.8,3,3,4,3,3,3.2,3,5,3,4,3,3.6,3,3,3,3,3,3,3,4,3,3,5,3.6,4,4,4,3,5,4,1
2,2,2,2,2,0,3,3,3,4,3,3.2,4,4,4,4,4,4,4,3,3,3,3,3.2,3,3,3,4,3,3.2,4,4,4,4,4,4,1,3,3,3,4,2.8,3,4,4,4,4,3.8,0
6,2,2,1,3,3,2,2,3,3,4,2.8,4,5,2,2,2,3,2,2,2,2,2,2,3,3,3,3,4,3.2,3,3,3,3,4,3.2,4,3,2,2,2,2.6,1,2,2,2,3,2,0
1,2,2,2,2,2,2,3,2,4,5,3.2,5,5,3,4,3,4,2,1,2,2,4,2.2,2,5,2,4,2,3,4,3,4,2,2,3,1,1,2,2,2,1.6,1,1,2,3,2,1.8,0
1,2,2,2,2,2,1,3,4,4,4,3.2,5,4,4,4,4,4.2,5,3,3,3,3,3.4,3,5,4,4,3,3.8,4,2,3,4,2,3,1,1,3,1,3,1.8,1,2,4,2,2,2.2,0
1,2,3,2,3,0,2,3,2,1,2,2,2,1,3,3,3,2.4,4,2,5,3,2,3.2,5,4,4,2,2,3.4,3,4,4,3,3,3.4,1,2,3,2,2,2,1,2,2,2,4,2.2,0
1,2,2,1,3,2,2,2,3,3,4,2.8,3,4,2,3,2,2.8,2,2,2,2,2,2,3,4,4,3,4,3.6,5,3,2,3,2,3,1,3,2,2,2,2,2,2,3,3,2,2.4,0
1,1,1,1,1,3,1,1,1,4,4,2.2,4,4,3,3,3,3.4,3,1,1,1,1,1.4,1,3,2,3,3,2.4,1,2,2,1,2,1.6,1,2,2,2,2,1.8,1,2,2,2,2,1.8,0
1,2,2,2,2,3,5,3,2,4,3,3.4,3,5,1,3,4,3.2,3,1,3,1,3,2.2,5,5,5,3,3,4.2,4,3,5,4,3,3.8,1,3,3,1,3,2.2,3,2,5,4,5,3.8,1
1,2,1,2,1,3,3,2,3,2,3,2.6,2,3,2,3,2,2.4,3,3,2,2,3,2.6,2,3,3,3,3,2.8,3,4,2,4,3,3.2,1,2,2,1,2,1.6,1,1,2,3,2,1.8,0
1,1,1,2,0,3,2,1,2,1,2,1.6,1,3,3,2,4,2.6,3,2,3,3,3,2.8,3,2,3,3,3,2.8,1,1,2,3,1,1.6,1,1,2,1,3,1.6,1,1,3,2,2,1.8,0
1,2,2,2,2,3,4,3,3,2,3,3,1,2,2,3,3,2.2,4,3,2,2,3,2.8,3,4,4,4,3,3.6,2,2,4,2,3,2.6,1,2,3,1,3,2,1,3,2,3,3,2.4,0
1,3,2,2,3,2,5,4,3,2,3,3.4,1,1,1,2,1,1.2,1,1,1,2,1,1.2,2,4,3,4,1,2.8,3,1,3,4,1,2.4,1,1,1,1,1,1,1,2,3,3,1,2,0
1,0,2,2,0,3,3,1,1,3,3,2.2,4,4,1,5,3,3.4,2,1,1,2,3,1.8,3,3,4,4,4,3.6,2,4,3,4,2,3,1,1,2,2,2,1.6,1,3,4,3,4,3,0
2,2,2,1,3,2,3,3,2,4,5,3.4,2,4,3,4,4,3.4,4,3,5,3,4,3.8,3,5,4,4,3,3.8,5,4,3,3,3,3.6,1,3,3,3,5,3,3,3,3,4,3,3.2,0
3,1,1,2,0,2,4,3,4,5,4,4,4,4,3,4,3,3.6,3,3,3,4,3,3.2,3,3,4,4,3,3.4,3,3,3,4,3,3.2,1,3,3,3,4,2.8,2,2,3,4,2,2.6,1
2,1,2,1,2,3,3,4,5,4,3,3.8,3,4,1,5,5,3.6,5,3,2,3,4,3.4,2,3,3,4,5,3.4,5,5,5,4,3,4.4,1,4,3,2,3,2.6,1,2,1,3,2,1.8,0
4,1,2,1,2,3,2,4,5,5,4,4,3,4,1,5,4,3.4,5,4,3,3,4,3.8,2,3,5,4,5,3.8,5,5,5,4,3,4.4,2,5,4,3,2,3.2,1,2,2,4,5,2.8,1
3,2,2,0,4,0,5,1,1,5,4,3.2,3,5,3,5,1,3.4,5,3,3,3,3,3.4,4,5,5,4,4,4.4,3,3,3,3,4,3.2,1,2,5,3,3,2.8,3,5,3,4,4,3.8,1
2,1,2,1,2,3,4,4,3,4,5,4,5,3,3,2,3,3.2,3,3,2,2,3,2.6,2,3,4,3,5,3.4,3,4,3,3,2,3,1,4,3,3,1,2.4,1,1,2,2,3,1.8,1
4,1,2,0,3,0,3,3,3,4,4,3.4,3,4,3,4,5,3.8,4,3,3,3,4,3.4,4,4,3,3,3,3.4,3,3,3,3,4,3.2,1,2,4,3,3,2.6,3,4,3,4,4,3.6,1
1,1,2,2,1,0,3,4,4,5,3,3.8,3,4,2,5,4,3.6,5,3,2,2,4,3.2,2,3,3,3,5,3.2,1,4,3,2,2,2.4,1,1,2,3,3,2,1,1,2,3,3,2,0
2,1,2,1,2,3,3,4,5,4,5,4.2,3,4,1,5,5,3.6,5,3,3,3,5,3.8,2,3,3,3,5,3.2,5,5,4,4,3,4.2,1,5,3,1,3,2.6,1,1,1,3,3,1.8,0
3,2,2,2,2,2,4,1,5,1,2,2.6,5,3,1,2,5,3.2,3,5,5,5,5,4.6,1,1,1,1,1,1,1,3,1,4,5,2.8,1,2,4,5,5,3.4,5,1,1,1,1,1.8,1
1,1,0,2,-1,2,3,2,4,3,5,3.4,5,5,3,1,3,3.4,4,5,4,3,5,4.2,3,4,3,2,1,2.6,4,3,4,3,1,3,1,3,3,2,4,2.6,1,1,3,2,1,1.6,0
3,1,2,0,3,0,4,3,3,2,4,3.2,4,1,4,4,3,3.2,2,5,1,3,5,3.2,1,2,1,1,1,1.2,5,3,1,4,5,3.6,4,1,5,5,5,4,2,1,1,1,2,1.4,1
1,1,2,2,1,4,2,2,2,3,3,2.4,4,5,3,4,5,4.2,3,3,4,5,4,3.8,1,1,3,2,2,1.8,3,4,3,4,3,3.4,1,1,2,2,3,1.8,1,2,3,2,1,1.8,0
2,3,2,2,3,2,3,3,3,4,3,3.2,4,5,3,5,5,4.4,4,3,4,5,5,4.2,4,5,5,4,4,4.4,4,4,5,5,4,4.4,2,4,4,2,4,3.2,3,4,4,3,4,3.6,1
1,2,2,2,2,2,4,4,3,4,4,3.8,4,4,3,4,4,3.8,5,3,3,2,2,3,2,4,4,4,4,3.6,4,4,4,4,2,3.6,1,2,2,2,3,2,2,2,4,3,3,2.8,1
1,2,2,1,3,1,2,2,3,3,4,2.8,3,5,3,3,2,3.2,4,2,4,1,3,2.8,1,3,3,3,4,2.8,2,2,3,3,1,2.2,1,1,2,1,2,1.4,1,1,2,3,1,1.6,0
12,2,2,2,2,3,3,3,4,3,4,3.4,5,4,3,3,3,3.6,3,3,3,3,3,3,2,3,3,3,3,2.8,3,4,4,3,3,3.4,1,3,3,2,3,2.4,3,3,3,3,3,3,1
5,1,1,1,1,3,5,4,5,4,5,4.6,4,5,2,4,3,3.6,4,3,3,3,4,3.4,3,4,4,3,3,3.4,5,5,3,5,3,4.2,1,3,3,3,3,2.6,2,3,3,3,2,2.6,1
3,4,2,2,4,0,3,2,4,3,2,2.8,4,4,1,5,5,3.8,4,3,3,3,5,3.6,3,3,2,2,2,2.4,1,4,1,1,4,2.2,1,4,1,1,4,2.2,1,1,3,3,2,2,1
3,2,2,2,2,3,3,2,4,4,4,3.4,3,2,4,4,4,3.4,3,3,1,3,3,2.6,3,3,2,3,3,2.8,3,3,3,3,3,3,1,3,3,3,3,2.6,1,3,3,3,3,2.6,1
1,3,3,0,6,3,2,2,2,2,2,2,3,3,2,2,4,2.8,3,2,5,2,2,2.8,4,4,3,3,3,3.4,3,3,2,5,1,2.8,1,3,1,1,2,1.6,3,2,3,3,1,2.4,1
2,2,2,2,2,0,1,2,2,2,2,1.8,3,4,3,3,3,3.2,3,2,3,2,2,2.4,2,2,3,3,3,2.6,2,2,3,2,2,2.2,1,2,3,2,3,2.2,1,2,3,3,1,2,1
2,2,2,2,2,2,4,3,3,1,3,2.8,3,3,2,3,2,2.6,4,3,3,3,4,3.4,3,4,4,3,4,3.6,4,3,4,4,3,3.6,3,4,4,3,4,3.6,3,2,4,4,4,3.4,1
3,2,2,2,2,3,1,1,3,1,1,1.4,2,1,2,1,3,1.8,3,2,3,3,3,2.8,2,1,2,2,2,1.8,2,3,2,3,2,2.4,2,2,3,2,2,2.2,1,1,2,1,1,1.2,1
